zone,bucket,n_events,recovery_p50,recovery_p75
all,lo,5406,3.0,8.0
all,mid,442,3.0,8.0
all,hi,13,2.0,8.0
ibaraki,lo,455,4.0,8.0
ibaraki,mid,24,3.5,5.2
ibaraki,hi,6,4.5,8.0
inner_boso,lo,435,3.0,8.0
inner_boso,mid,28,2.5,8.0
inner_boso,hi,0,,
izu,lo,1088,7.0,8.0
izu,mid,138,8.0,8.0
izu,hi,4,8.0,8.0
outer_boso,lo,907,4.0,8.0
outer_boso,mid,57,3.0,8.0
outer_boso,hi,0,,
sagami_bay,lo,1215,2.0,5.0
sagami_bay,mid,113,2.0,4.0
sagami_bay,hi,0,,
tokyo_bay,lo,1306,2.0,5.0
tokyo_bay,mid,82,2.0,4.0
tokyo_bay,hi,3,1.0,1.5
